Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH1801001372A,Applications,95,1,6,A,53,28,Examining,Pending,7730000
TH144145A,Applications,1,1,6,C,48,26,Examining,Pending,7690000
TH53124B,Patents,15,1,1,B,43,130,Ceased,Inactive,7670000
TH76834B,Patents,5,1,5,A,36,74,Granted,Active,7650000
TH135752A,Applications,1,1,10,C,30,17,Examining,Pending,7620000
TH57007B,Patents,184,1,4,A,39,46,Granted,Active,7510000
TH153132A,Applications,1,3,20,C,29,519,Examining,Pending,7480000
TH81047B,Patents,24,1,4,B,34,36,Granted,Active,7420000
TH72620B,Patents,11,1,5,C,30,27,Granted,Active,7390000
TH134721A,Applications,1,1,2,A,43,206,Examining,Pending,7360000
TH83526B,Patents,36,1,14,A,38,1615,Granted,Active,7340000
TH135252A,Applications,1,2,3,C,44,87,Examining,Pending,7320000
TH49372B,Patents,51,1,4,A,39,91,Granted,Active,7300000
TH84745A,Applications,1,2,7,A,31,521,Examining,Pending,7280000
TH156214A,Applications,1,1,10,C,39,562,Examining,Pending,7280000
TH1801001515A,Applications,1,2,4,C,41,8,Published,Pending,7280000
TH65462B,Patents,141,1,5,C,66,127,Granted,Active,7270000
TH92825B,Patents,1,1,16,A,31,230,Granted,Active,7270000
TH125570A,Applications,3,1,3,A,35,119,Examining,Pending,7240000
TH175109A,Applications,1,1,4,C,35,82,Examining,Pending,7140000
TH124838A,Applications,2,1,11,A,38,225,Examining,Pending,7120000
TH128135A,Applications,2,1,5,A,34,37,Examining,Pending,7110000
TH71628B,Patents,64,1,8,A,30,86,Granted,Active,7100000
TH54708B,Patents,14,1,10,B,19,81,Granted,Active,7090000
TH125081A,Applications,1,1,1,A,49,123,Examining,Pending,7080000
TH51737B,Patents,96,1,9,C,24,585,Granted,Active,7030000
TH86555B,Patents,7,-,1,A,29,91,Granted,Active,7030000
TH62703B,Patents,14,2,12,A,40,43,Granted,Active,6970000
TH85689B,Patents,12,1,6,B,27,40,Granted,Active,6930000
TH90963B,Patents,1,2,8,C,31,299,Examining,Pending,6920000
TH177889A,Applications,1,1,2,A,33,25,Published,Pending,6890000
TH120353A,Applications,1,1,20,C,34,264,Examining,Pending,6880000
TH1601007280A,Applications,110,1,1,C,44,141,Examining,Pending,6860000
TH79302B,Patents,27,1,4,A,31,11,Granted,Active,6860000
TH179564A,Applications,1,2,10,C,44,20,Published,Pending,6850000
TH76635B,Patents,54,1,2,F,20,70,Granted,Active,6850000
TH122107A,Applications,1,1,2,A,41,91,Examining,Pending,6840000
TH51744B,Patents,77,2,3,C,19,48,Granted,Active,6840000
TH54970B,Patents,58,1,3,C,47,603,Granted,Active,6830000
TH85970B,Patents,65,1,4,B,22,79,Granted,Active,6820000
TH130498A,Applications,1,1,4,A,26,20,Examining,Pending,6790000
TH29102B,Patents,48,1,5,C,34,878,Granted,Active,6790000
TH84060B,Patents,13,1,5,C,39,10,Granted,Active,6740000
TH175547A,Applications,1,2,4,C,46,119,Published,Pending,6710000
TH81780B,Patents,36,1,16,A,38,861,Granted,Active,6710000
TH136431A,Applications,2,1,8,C,47,501,Examining,Pending,6600000
TH86885B,Patents,21,1,5,A,25,74,Granted,Active,6570000
TH131371A,Applications,1,1,8,C,34,115,Examining,Pending,6550000
TH82961B,Patents,1,1,15,A,31,992,Granted,Active,6540000
TH91061B,Patents,1,1,6,A,32,1311,Examining,Pending,6500000
TH166728A,Applications,1,1,16,C,30,73,Examining,Pending,6480000
TH69242B,Patents,56,1,4,C,37,80,Granted,Active,6470000
TH125087A,Applications,1,1,7,A,31,20,Examining,Pending,6460000
TH57988B,Patents,46,1,3,A,37,79,Granted,Active,6450000
TH83210B,Patents,192,1,12,A,27,317,Granted,Active,6390000
TH1701007782A,Applications,34,1,1,A,61,17,Published,Pending,6350000
TH60092B,Patents,7,1,1,A,31,44,Granted,Active,6320000
TH58522B,Patents,28,1,4,A,48,58,Granted,Active,6280000
TH77811B,Patents,43,1,15,C,35,333,Granted,Active,6280000
TH64960B,Patents,17,1,2,B,23,25,Granted,Active,6280000
TH135816A,Applications,1,1,6,C,24,9,Examining,Pending,6270000
TH182612A,Applications,1,1,6,C,27,11,Published,Pending,6200000
TH87984B,Patents,17,1,4,B,49,77,Granted,Active,6190000
TH75733B,Patents,102,2,8,A,18,257,Granted,Active,6180000
TH58083B,Patents,15,2,3,B,26,145,Granted,Active,6170000
TH81548B,Patents,40,1,6,A,39,13,Granted,Active,6160000
TH83434B,Patents,52,1,6,B,34,32,Granted,Active,6100000
TH140030A,Applications,1,1,16,A,30,650,Examining,Pending,6090000
TH78901B,Patents,21,1,16,B,36,74,Granted,Active,6070000
TH139008A,Applications,2,1,2,C,26,113,Examining,Pending,6040000
TH60618B,Patents,16,1,3,A,32,177,Granted,Active,6040000
TH129187A,Applications,1,1,8,A,42,64,Examining,Pending,6030000
TH143139A,Applications,1,2,5,C,51,14,Examining,Pending,6010000
TH67163B,Patents,31,1,3,C,30,236,Granted,Active,5970000
TH58526B,Patents,18,1,1,A,42,61,Granted,Active,5970000
TH52981B,Patents,35,1,2,A,29,76,Granted,Active,5920000
TH83739B,Patents,27,1,6,A,28,19,Granted,Active,5900000
TH78652B,Patents,33,1,2,A,27,68,Granted,Active,5900000
TH68271B,Patents,9,1,1,B,25,27,Granted,Active,5890000
TH84647B,Patents,1,1,8,A,37,32,Granted,Active,5860000
TH1701003441A,Applications,603,1,7,C,40,109,Published,Pending,5850000
TH90091B,Patents,1,1,6,A,34,41,Granted,Active,5830000
TH89166B,Patents,31,1,2,B,27,17,Granted,Active,5820000
TH146343A,Applications,1,1,2,A,27,393,Examining,Pending,5790000
TH51952B,Patents,9,1,3,A,31,87,Granted,Active,5780000
TH174602A,Applications,1,3,6,C,19,66,Published,Pending,5770000
TH134732A,Applications,1,1,2,C,33,121,Examining,Pending,5750000
TH135156A,Applications,1,1,4,A,39,45,Examining,Pending,5740000
TH88004B,Patents,30,1,1,A,149,248,Granted,Active,5740000
TH134387A,Applications,1,1,3,A,44,192,Examining,Pending,5710000
TH166505A,Applications,1,1,8,A,25,35,Examining,Pending,5700000
TH1701002019A,Applications,1,1,5,C,59,33,Published,Pending,5680000
TH135154A,Applications,2,1,2,A,26,313,Examining,Pending,5660000
TH89259B,Patents,11,1,4,B,30,21,Granted,Active,5650000
TH115955A,Applications,2,1,3,A,32,74,Examining,Pending,5630000
TH168548A,Applications,1,1,1,A,64,5,Examining,Pending,5620000
TH69177B,Patents,25,1,4,F,18,68,Granted,Active,5580000
TH68431B,Patents,21,1,7,F,31,116,Granted,Active,5570000
TH82496B,Patents,22,1,1,A,34,20,Granted,Active,5570000
TH65170B,Patents,20,1,5,F,33,36,Granted,Active,5570000
TH91536B,Patents,3,-,4,C,2,31,Granted,Active,5560000
TH59014B,Patents,17,2,1,A,41,47,Granted,Active,5540000
TH174307A,Applications,1,1,2,B,29,21,Examining,Pending,5530000
TH56549B,Patents,29,1,1,A,34,297,Ceased,Inactive,5530000
TH89185B,Patents,46,1,8,A,21,151,Granted,Active,5490000
TH60730B,Patents,13,2,2,F,27,18,Granted,Active,5470000
TH2001001079A,Applications,44,1,4,F,18,24,Examining,Pending,5470000
TH91781B,Patents,1,1,13,A,41,150,Granted,Active,5460000
TH35847B,Patents,28,2,3,B,22,41,Granted,Active,5450000
TH131676A,Applications,1,2,2,A,25,52,Examining,Pending,5430000
TH81235B,Patents,17,1,4,B,24,33,Granted,Active,5430000
TH68684B,Patents,23,1,4,A,40,38,Granted,Active,5430000
TH144142A,Applications,1,1,6,A,37,60,Examining,Pending,5420000
TH133905A,Applications,1,1,10,B,20,31,Examining,Pending,5420000
TH87196B,Patents,20,1,10,A,44,14,Granted,Active,5420000
TH88652B,Patents,22,1,2,A,23,58,Granted,Active,5420000
TH163787A,Applications,2,1,2,B,25,16,Examining,Pending,5400000
TH79616B,Patents,34,1,3,F,36,50,Granted,Active,5390000
TH57532B,Patents,23,1,2,B,37,38,Granted,Active,5380000
TH134066A,Applications,1,1,2,C,28,56,Examining,Pending,5370000
TH78294B,Patents,23,1,4,B,36,27,Granted,Active,5360000
TH61091B,Patents,48,2,16,C,18,457,Granted,Active,5360000
TH127399A,Applications,1,1,8,A,25,22,Examining,Pending,5330000
TH44698B,Patents,66,1,6,F,11,98,Granted,Active,5330000
TH150181A,Applications,1,1,3,C,16,24,Examining,Pending,5320000
TH1801005052A,Applications,98,1,8,A,26,19,Examining,Pending,5320000
TH51883B,Patents,14,1,1,F,13,51,Granted,Active,5320000
TH67556B,Patents,41,1,2,B,21,47,Granted,Active,5320000
TH77882B,Patents,27,1,4,A,31,36,Granted,Active,5320000
TH153169A,Applications,1,1,5,C,21,78,Examining,Pending,5310000
TH175846A,Applications,1,2,6,C,19,36,Published,Pending,5310000
TH64658B,Patents,23,1,3,B,26,18,Ceased,Inactive,5310000
TH89213B,Patents,40,1,8,B,29,124,Granted,Active,5310000
TH86062B,Patents,8,1,4,A,16,119,Granted,Active,5300000
TH86583B,Patents,46,1,16,A,25,51,Granted,Active,5280000
TH151446A,Applications,1,1,4,A,36,29,Examining,Pending,5270000
TH135285A,Applications,1,2,2,C,25,3,Examining,Pending,5260000
TH87824B,Patents,53,2,2,A,25,29,Granted,Active,5260000
TH131552A,Applications,1,1,4,C,46,68,Examining,Pending,5250000
TH64769B,Patents,21,1,7,B,18,62,Granted,Active,5250000
TH92702B,Patents,1,1,2,A,1,0,Granted,Active,5240000
TH138997A,Applications,3,1,4,C,26,42,Examining,Pending,5230000
TH130099A,Applications,1,1,12,C,26,57,Examining,Pending,5210000
TH55544B,Patents,31,2,3,C,25,25,Granted,Active,5210000
TH57941B,Patents,21,1,3,B,19,18,Granted,Active,5210000
TH129190A,Applications,1,2,14,C,46,33,Examining,Pending,5190000
TH170217A,Applications,1,1,4,C,28,9,Examining,Pending,5180000
TH61325B,Patents,2,1,2,B,19,31,Granted,Active,5180000
TH83644B,Patents,42,1,2,A,23,11,Granted,Active,5160000
TH66394B,Patents,21,1,5,B,17,61,Granted,Active,5150000
TH126083A,Applications,1,1,17,A,38,162,Examining,Pending,5130000
TH82848B,Patents,13,1,2,F,20,30,Granted,Active,5130000
TH62748B,Patents,22,1,10,F,15,73,Granted,Active,5120000
TH156634A,Applications,2,-,2,A,28,26,Examining,Pending,5110000
TH76279B,Patents,16,1,4,B,34,14,Granted,Active,5110000
TH131508A,Applications,1,1,1,A,27,146,Examining,Pending,5080000
TH175905A,Applications,1,1,5,C,49,47,Published,Pending,5080000
TH176892A,Applications,1,1,3,C,23,88,Published,Pending,5080000
TH108872A,Applications,1,1,5,A,36,134,Examining,Pending,5060000
TH116813A,Applications,1,1,2,A,23,67,Examining,Pending,5050000
TH162424A,Applications,2,1,4,F,16,72,Examining,Pending,5030000
TH177228A,Applications,1,1,10,C,28,7,Published,Pending,5030000
TH74744B,Patents,32,2,4,B,29,67,Granted,Active,5030000
TH158825A,Applications,2,1,7,B,30,32,Examining,Pending,5020000
TH86147B,Patents,20,1,1,A,32,42,Granted,Active,5020000
TH80830B,Patents,36,1,6,B,29,43,Granted,Active,5010000
TH68329B,Patents,9,1,3,A,20,127,Granted,Active,5010000
TH90455B,Patents,2,1,2,B,31,15,Granted,Active,5000000
TH132228A,Applications,1,1,1,C,48,22,Examining,Pending,4990000
TH76085B,Patents,21,1,10,B,35,88,Granted,Active,4980000
TH151551A,Applications,1,1,18,C,31,36,Examining,Pending,4970000
TH175605A,Applications,2,1,4,F,28,8,Published,Pending,4970000
TH177013A,Applications,1,3,8,C,39,15,Examining,Pending,4950000
TH135788A,Applications,1,1,5,C,50,69,Examining,Pending,4930000
TH74708B,Patents,18,1,8,B,22,41,Granted,Active,4930000
TH90971B,Patents,2,1,2,B,1,0,Granted,Active,4930000
TH169370A,Applications,1,1,4,C,28,7,Examining,Pending,4900000
TH151174A,Applications,1,1,6,C,38,21,Examining,Pending,4900000
TH1701000360A,Applications,26,1,2,C,39,20,Examining,Pending,4900000
TH77923B,Patents,34,1,6,B,24,82,Granted,Active,4890000
TH151165A,Applications,1,1,5,C,23,233,Withdrawn,Inactive,4880000
TH84571B,Patents,39,1,4,A,32,294,Granted,Active,4880000
TH164077A,Applications,1,1,6,B,23,207,Published,Pending,4870000
TH54572B,Patents,32,1,1,A,29,465,Ceased,Inactive,4860000
TH52137B,Patents,8,1,1,B,26,80,Granted,Active,4850000
TH62032B,Patents,7,1,4,A,29,98,Granted,Active,4850000
TH68280B,Patents,15,1,8,B,38,42,Granted,Active,4850000
TH71737B,Patents,17,1,5,B,28,28,Granted,Active,4830000
TH89258B,Patents,11,1,2,B,29,20,Granted,Active,4830000
TH106992A,Applications,1,1,4,A,26,30,Examining,Pending,4820000
TH124839A,Applications,1,1,18,A,18,49,Examining,Pending,4820000
TH120357A,Applications,1,1,1,C,19,51,Examining,Pending,4820000
TH135142A,Applications,1,1,18,C,22,66,Examining,Pending,4820000
TH142624A,Applications,1,1,2,A,26,28,Examining,Pending,4800000
TH64914B,Patents,27,1,4,F,14,58,Granted,Active,4800000
TH86979B,Patents,24,1,5,C,19,70,Granted,Active,4800000
TH166544A,Applications,1,1,3,A,29,34,Examining,Pending,4790000
TH64470B,Patents,15,1,2,B,12,42,Granted,Active,4780000
TH149820A,Applications,1,1,3,C,17,30,Examining,Pending,4770000
TH1901001894A,Applications,26,1,2,F,17,10,Examining,Pending,4770000
TH73816B,Patents,38,1,2,A,36,123,Granted,Active,4770000
TH152485A,Applications,1,1,8,A,18,29,Examining,Pending,4760000
TH1801000616A,Applications,69,1,4,F,28,15,Published,Pending,4760000
TH78962B,Patents,34,1,2,A,25,26,Granted,Active,4760000
TH79888B,Patents,31,1,4,C,17,86,Granted,Active,4760000
TH85758B,Patents,18,1,4,A,38,23,Granted,Active,4750000
TH66640B,Patents,36,1,5,F,12,21,Granted,Active,4750000
TH42045B,Patents,11,1,3,B,22,121,Granted,Active,4750000
TH168610A,Applications,1,1,20,C,26,52,Published,Pending,4740000
TH98790A,Applications,1,1,7,C,19,65,Examining,Pending,4740000
TH136435A,Applications,1,1,2,A,22,68,Examining,Pending,4740000
TH48415B,Patents,7,1,2,B,22,364,Granted,Active,4740000
TH82173B,Patents,17,1,2,A,32,3,Granted,Active,4740000
TH90092B,Patents,1,1,6,A,36,32,Granted,Active,4730000
TH86390B,Patents,20,1,2,A,27,63,Granted,Active,4730000
TH175693A,Applications,1,1,8,A,27,22,Published,Pending,4710000
TH177415A,Applications,2,1,3,B,34,8,Published,Pending,4710000
TH63754B,Patents,20,1,8,B,14,34,Granted,Active,4710000
TH114657A,Applications,1,1,2,A,19,301,Examining,Pending,4700000
TH1501003716A,Applications,93,1,16,A,29,47,Published,Pending,4700000
TH84374B,Patents,13,2,2,B,31,5,Granted,Active,4700000
TH1901007558A,Applications,28,2,4,B,13,50,Published,Pending,4700000
TH120274A,Applications,1,1,8,C,16,96,Examining,Pending,4690000
TH78321B,Patents,26,1,2,B,15,30,Granted,Active,4690000
TH86726B,Patents,50,1,4,F,15,13,Granted,Active,4680000
TH172505A,Applications,1,1,5,A,23,38,Examining,Pending,4670000
TH82641B,Patents,8,1,1,H,20,14,Granted,Active,4670000
TH57109B,Patents,21,1,2,F,23,104,Granted,Active,4670000
TH39086B,Patents,19,1,6,B,23,17,Granted,Active,4670000
TH80886B,Patents,53,1,1,B,16,38,Granted,Active,4660000
TH182587A,Applications,1,1,10,A,51,22,Examining,Pending,4650000
TH114664A,Applications,2,1,3,A,27,51,Examining,Pending,4640000
TH34687B,Patents,16,1,5,B,24,33,Granted,Active,4640000
TH84594B,Patents,29,1,2,A,21,276,Granted,Active,4630000
TH44403B,Patents,12,1,2,B,19,65,Granted,Active,4630000
TH122112A,Applications,1,2,2,C,24,46,Examining,Pending,4620000
TH62973B,Patents,18,1,4,A,18,18,Granted,Active,4620000
TH90877B,Patents,1,1,4,A,1,0,Examining,Pending,4620000
TH148859A,Applications,2,1,4,A,37,40,Examining,Pending,4610000
TH71066B,Patents,9,1,6,B,21,41,Granted,Active,4610000
TH83365B,Patents,60,1,1,B,16,27,Granted,Active,4610000
TH84297B,Patents,11,1,3,F,26,16,Granted,Active,4610000
TH1901000605A,Applications,1,1,14,C,22,32,Published,Pending,4610000
TH79131B,Patents,25,1,8,F,11,32,Granted,Active,4600000
TH124706A,Applications,1,1,4,A,33,16,Examining,Pending,4590000
TH84130B,Patents,10,1,4,A,24,27,Granted,Active,4590000
TH84073B,Patents,5,1,2,A,19,24,Granted,Active,4580000
TH177982A,Applications,2,1,12,B,20,5,Examining,Pending,4570000
TH1801000142A,Applications,1,1,8,C,24,16,Examining,Pending,4570000
TH79667B,Patents,28,1,1,A,20,31,Granted,Active,4570000
TH64200B,Patents,62,1,3,C,16,104,Granted,Active,4570000
TH126625A,Applications,2,1,2,A,17,31,Examining,Pending,4560000
TH58317B,Patents,6,1,3,F,23,30,Granted,Active,4560000
TH153201A,Applications,1,1,4,C,22,217,Examining,Pending,4540000
TH71890B,Patents,26,1,2,A,18,35,Granted,Active,4540000
TH91136B,Patents,20,1,5,C,1,0,Examining,Pending,4540000
TH82820B,Patents,14,1,3,C,27,10,Granted,Active,4530000
TH77606B,Patents,23,2,2,B,14,30,Granted,Active,4530000
TH82988B,Patents,41,1,1,A,16,33,Granted,Active,4520000
TH70195B,Patents,41,1,2,C,26,27,Ceased,Inactive,4520000
TH75816B,Patents,16,1,8,B,18,35,Ceased,Inactive,4520000
TH86592B,Patents,39,1,1,C,31,11,Granted,Active,4520000
TH116729A,Applications,1,1,7,A,24,84,Examining,Pending,4500000
TH171410A,Applications,1,1,9,C,26,299,Published,Pending,4500000
TH35715B,Patents,35,2,4,F,13,40,Granted,Active,4500000
TH2001000373A,Applications,230,1,12,F,30,31,Published,Pending,4500000
TH84755B,Patents,29,1,2,C,30,62,Granted,Active,4490000
TH72968B,Patents,33,1,3,B,21,52,Granted,Active,4490000
TH80514B,Patents,40,1,2,A,21,10,Granted,Active,4490000
TH80915B,Patents,10,1,1,C,16,11,Granted,Active,4490000
TH126239A,Applications,1,1,2,A,28,0,Examining,Pending,4480000
TH136303A,Applications,1,1,2,A,32,9,Examining,Pending,4480000
TH84376B,Patents,62,1,3,C,36,24,Granted,Active,4480000
TH86379B,Patents,13,1,3,A,17,15,Granted,Active,4480000
TH58657B,Patents,33,1,5,A,14,63,Granted,Active,4470000
TH76676B,Patents,21,1,3,B,18,7,Granted,Active,4470000
TH78862B,Patents,21,1,5,F,17,55,Granted,Active,4460000
TH182859A,Applications,1,1,14,A,31,12,Published,Pending,4450000
TH143294A,Applications,1,2,8,C,25,94,Examining,Pending,4440000
TH71842B,Patents,7,1,2,A,14,8,Granted,Active,4440000
TH75079B,Patents,10,1,3,A,16,88,Granted,Active,4440000
TH80307A,Applications,1,1,5,A,29,460,Examining,Pending,4420000
TH50619B,Patents,40,1,1,B,55,386,Granted,Active,4420000
TH181129A,Applications,1,1,7,C,25,268,Examining,Pending,4410000
TH50821B,Patents,20,1,5,A,20,37,Granted,Active,4410000
TH107152A,Applications,1,1,6,A,27,74,Examining,Pending,4400000
TH68162B,Patents,27,1,2,A,16,49,Granted,Active,4400000
TH142706A,Applications,1,1,4,A,16,21,Examining,Pending,4390000
TH81199B,Patents,17,1,1,A,30,35,Granted,Active,4390000
TH178966A,Applications,3,1,3,B,24,12,Examining,Pending,4380000
TH74712B,Patents,15,1,3,B,13,16,Granted,Active,4380000
TH92600B,Patents,7,1,8,F,17,187,Granted,Active,4380000
TH138433A,Applications,1,1,4,C,34,15,Examining,Pending,4370000
TH77818B,Patents,49,1,2,B,13,13,Granted,Active,4370000
TH153573A,Applications,1,1,3,A,28,25,Withdrawn,Inactive,4360000
TH149073A,Applications,1,1,2,A,15,16,Examining,Pending,4360000
TH79151B,Patents,8,1,6,A,20,79,Granted,Active,4360000
TH77674B,Patents,20,1,4,B,12,42,Granted,Active,4350000
TH71396B,Patents,36,1,16,A,30,80,Granted,Active,4350000
TH87432B,Patents,31,1,1,C,27,40,Granted,Active,4350000
TH174490A,Applications,1,1,4,A,31,1,Examining,Pending,4340000
TH79219B,Patents,44,1,4,B,19,8,Granted,Active,4340000
TH55255B,Patents,18,1,1,B,22,4,Granted,Active,4340000
TH92361B,Patents,1,1,5,A,25,7,Granted,Active,4340000
TH169694A,Applications,1,1,6,B,37,37,Published,Pending,4330000
TH180227A,Applications,2,1,1,B,32,18,Published,Pending,4330000
TH1801003679A,Applications,40,1,10,C,23,36,Published,Pending,4330000
TH69235B,Patents,81,1,4,C,18,20,Granted,Active,4330000
TH79737B,Patents,24,1,2,A,18,87,Granted,Active,4330000
TH87066B,Patents,26,1,6,A,15,25,Granted,Active,4330000
TH178999A,Applications,1,1,4,C,20,22,Published,Pending,4320000
TH76626B,Patents,17,1,11,A,20,27,Granted,Active,4320000
TH58027B,Patents,43,1,2,A,16,19,Granted,Active,4310000
TH56595B,Patents,17,1,3,A,18,50,Granted,Active,4300000
TH1801003479A,Applications,87,1,4,A,25,4,Published,Pending,4300000
TH134138A,Applications,1,1,1,A,25,41,Examining,Pending,4290000
TH42347B,Patents,14,1,5,F,15,54,Granted,Active,4290000
TH60022B,Patents,57,3,4,A,24,150,Granted,Active,4290000
TH1701003891A,Applications,1,1,18,A,24,43,Published,Pending,4280000
TH81547B,Patents,17,1,4,B,15,18,Granted,Active,4280000
TH40741B,Patents,22,2,2,B,11,68,Granted,Active,4280000
TH79476B,Patents,18,1,2,B,18,31,Granted,Active,4270000
TH77409B,Patents,27,1,7,A,21,90,Granted,Active,4270000
TH63381B,Patents,23,1,6,A,15,29,Granted,Active,4270000
TH87363B,Patents,14,1,8,B,12,19,Granted,Active,4260000
TH134151A,Applications,2,1,8,B,34,44,Examining,Pending,4250000
TH170861A,Applications,1,2,3,C,41,69,Published,Pending,4250000
TH45862B,Patents,15,1,1,F,18,48,Granted,Active,4250000
TH67020B,Patents,59,1,8,A,19,1400,Granted,Active,4250000
TH73557B,Patents,7,1,3,A,16,61,Granted,Active,4250000
TH128189A,Applications,1,1,2,A,31,42,Examining,Pending,4240000
TH63903B,Patents,19,1,3,C,14,30,Granted,Active,4240000
TH83779B,Patents,33,1,3,A,20,76,Granted,Active,4230000
TH39882B,Patents,14,1,5,B,14,103,Granted,Active,4230000
TH127212A,Applications,1,1,17,A,37,33,Examining,Pending,4220000
TH41990B,Patents,15,1,3,A,25,29,Ceased,Inactive,4220000
TH73211B,Patents,63,1,3,B,11,29,Granted,Active,4220000
TH65765B,Patents,37,1,2,F,19,119,Granted,Active,4210000
TH47623B,Patents,21,2,7,B,13,26,Granted,Active,4210000
TH128223A,Applications,2,1,1,B,17,17,Examining,Pending,4200000
TH144475A,Applications,1,1,3,A,20,3,Examining,Pending,4200000
TH66407B,Patents,24,1,4,B,24,104,Granted,Active,4200000
TH152285A,Applications,1,1,1,A,15,10,Examining,Pending,4190000
TH42414B,Patents,27,1,3,B,12,74,Granted,Active,4190000
TH90537B,Patents,30,1,3,A,13,64,Granted,Active,4190000
TH107376A,Applications,1,1,3,A,17,34,Examining,Pending,4180000
TH85916B,Patents,45,1,2,A,15,31,Granted,Active,4180000
TH68486B,Patents,17,1,3,B,13,32,Granted,Active,4180000
